コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
9414	日本ＢＳ放送	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	913.0	3.29	30.0	3.29	30.0	3.29	配当あり	いいえ	14.29	0.66	162.8	1169.0	886.0	Communication Services			OK	通常掲載可	OK	11812.7	16.36	-3.5	90.81	0.0	1798.5	63.91	46.94	11.43	0
9416	ビジョン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	964.0	6.02	58.0	6.02	58.0	6.02	配当あり	いいえ	10.53	2.28	469.9	1343.0	949.0	Communication Services			OK	通常掲載可	OK	39012.4	16.57	9.8	70.54	0.09	1654.7	91.58	63.33	22.58	1
9417	スマートバリュー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	324.0	3.09	10.0	3.09	10.0	3.09	配当あり	いいえ	7.21	2.3	32.2	531.0	283.0	Technology			OK	通常掲載可	OK	3814.7	-8.09	-1.51	41.85	0.55	-693.2	44.91	22.27	13.71	1
9418	Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1629.0	1.04	17.0	1.04	17.0	1.04	配当あり	いいえ	15.6	2.79	2938.3	2312.0	1504.0	Industrials			OK	通常掲載可	OK	390408.0	8.2	19.48	37.56	0.72	3733.0	104.42	16.28	18.16	6
9419	ワイヤレスゲート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	287.0						配当未取得		11.16	1.87	31.2	354.0	232.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8348.6	2.05	-1.35	36.19	0.59	164.5	25.72		16.76	0
9421	エヌジェイホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	500.0						配当未取得		44.84	1.65	26.5	692.0	499.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	9698.1	1.06	-4.28	40.07	0.7	661.1	11.15		4.56	0
9423	フォーバル・リアルストレート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	102.0	2.94	3.0	2.94	3.0	2.94	配当あり	いいえ	14.33	3.32	24.7	150.0	99.0	Real Estate			OK	通常掲載可	OK	3139.8	4.03	2.4	48.53		56.7	7.12	42.13	23.17	4
9424	日本通信	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	105.0						配当未取得		23.6	3.79	175.1	177.0	104.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	11633.8	9.75	25.92	38.52	1.24	-711.5	4.45		15.32	
9425	ＲｅＹｕｕ　Ｊａｐａｎ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	215.0						配当未取得			0.91	14.7	1413.0	149.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6259.2	-2.62	32.27	60.34	0.47	-128.7	-18.61		2.53	
9428	クロップス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1282.0	2.5	32.0	2.5	32.0	2.5	配当あり	いいえ	13.04	0.91	121.2	1764.0	1132.0	Communication Services			OK	通常掲載可	OK	67497.0	5.34	9.63	32.67	0.26	2919.0	98.33	32.54	10.33	0
9432	ＮＴＴ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	1	TOPIX Core30	142.8	3.78	5.4	3.78	5.4	3.78	配当あり	いいえ	11.5	1.2	116272.9	167.2	142.6	Communication Services			OK	通常掲載可	OK	14409121.0	12.4	5.14	20.82	1.74	-770542.0	12.42	43.48	10.04	22
9433	ＫＤＤＩ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	1	TOPIX Core30	2655.0	3.16	84.0	3.16	84.0	3.16	配当あり	いいえ	14.47	1.99	101077.9	2827.0	2307.5	Communication Services			OK	通常掲載可	OK	6071915.0	17.44	4.05	26.63	1.14	1109847.0	183.46	45.79	14.01	1
9434	ソフトバンク	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	1	TOPIX Core30	206.4	4.26	8.8	4.23	8.8	4.26	配当あり	いいえ	18.45	3.34	98718.9	247.9	202.6	Communication Services			OK	通常掲載可	OK	7038680.0	14.81	7.55	15.99	2.19	621214.0	11.19	78.64	16.27	0
94345	ソフトバンク第１回社債型種類株式	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3800.0	2.63	100.0	2.64	100.0	2.63	配当あり	いいえ		61.41		3848.0	3710.0	Communication Services			OK	通常掲載可	OK	7038680.0	14.81	7.55	15.99	2.19	621214.0			16.27	1
94346	ソフトバンク第２回社債型種類株式	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	7582.0	3.38	256.0	3.38	256.0	3.38	配当あり	いいえ		122.53		7720.0	7410.0	Communication Services			OK	通常掲載可	OK	7038680.0	14.81	7.55	15.99	2.19	621214.0			16.27	
9435	光通信	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	34320.0	2.27	780.0	2.27	780.0	2.27	配当あり	いいえ	10.33	1.27	15027.5	45950.0	33190.0	Industrials			OK	通常掲載可	OK	734791.0	15.88	7.03	41.55	0.92	63283.0	3322.18	23.48	14.46	15
9436	沖縄セルラー電話	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3640.0	1.92	70.0	1.92	70.0	1.92	配当あり	いいえ	25.64	3.39	3350.7	3815.0	2427.5	Communication Services			OK	通常掲載可	OK	86348.0	21.65	2.41	82.16	0.0	10344.0	141.96	49.31	13.45	13
9438	エムティーアイ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	531.0	3.77	20.0	3.77	20.0	3.77	配当あり	いいえ	8.44	1.49	294.9	954.0	527.0	Healthcare			OK	通常掲載可	OK	29910.9	9.85	8.1	55.22	0.09	4297.3	62.92	31.79	16.71	2
9439	エム・エイチ・グループ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	244.0	0.41	1.0	0.4	1.0	0.41	配当あり	いいえ		5.71	28.2	268.0	204.0	Consumer Cyclical			OK	通常掲載可	OK	1877.7	1.23	-1.3	30.26	0.25	42.8	-2.51		-8.88	0
9441	ベルパーク	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2398.0	4.25	102.0	4.25	102.0	4.25	配当あり	いいえ	9.12	1.05	293.5	3220.0	1920.0	Consumer Cyclical			OK	通常掲載可	OK	129301.0	4.55	11.43	61.82	0.0	4535.7	263.06	38.77	13.63	3
9444	トーシンホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	222.0						配当未取得		6.15	0.51	14.4	632.0	163.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	17477.5	0.26	2.0	9.74	6.91	-765.8	36.08		-8.77	0
9445	フォーバルテレコム	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	533.0	5.25	28.0	5.25	28.0	5.25	配当あり	いいえ	9.06	2.27	89.3	600.0	502.0	Communication Services			OK	通常掲載可	OK	23973.0	5.17	-6.67	36.73	0.0	350.3	58.81	47.61	27.13	2
9446	サカイホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	670.0	5.37	36.0	5.37	36.0	5.37	配当あり	いいえ	6.2	1.04	50.6	758.0	450.0	Communication Services			OK	通常掲載可	OK	17017.0	8.61	9.89	22.53	2.79	1876.9	108.07	33.31	19.21	1
9449	ＧＭＯインターネットグループ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	3370.0	2.52	84.8	2.52	84.8	2.52	配当あり	いいえ	20.58	2.97	3315.1	4118.0	2731.5	Communication Services			OK	通常掲載可	OK	285377.0	20.72	2.19	4.48	5.45	70887.0	163.78	51.78	18.71	1
9450	ファイバーゲート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	755.0	3.58	27.0	3.58	27.0	3.58	配当あり	いいえ	11.85	2.2	151.9	787.0	653.0	Communication Services			OK	通常掲載可	OK	12613.0	18.92	-1.42	44.27	0.77	472.0	63.7	42.39	19.11	5
9466	アイドママーケティングコミュニケーション	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	221.0	4.52	10.0	4.52	10.0	4.52	配当あり	いいえ	16.15	0.86	29.0	256.0	216.0	Communication Services			OK	通常掲載可	OK	4761.9	5.64	-14.76	77.34	0.12	101.0	13.68	73.1	5.37	2
9467	アルファポリス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	969.0	2.79	27.0	2.79	27.0	2.79	配当あり	いいえ	12.11	1.8	281.6	1731.0	940.0	Communication Services			OK	通常掲載可	OK	16610.1	20.81	21.95	78.27	0.01	1877.8	80.04	33.73	15.8	
9468	ＫＡＤＯＫＡＷＡ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	3620.0	1.66	60.0	1.66	60.0	1.66	配当あり	いいえ	434.57	2.14	5320.4	3974.0	2701.5	Communication Services			OK	通常掲載可	OK	282908.0	2.86	1.8	62.82	0.04	-6084.0	8.33	720.29	1.47	0
9470	学研ホールディングス	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	996.0	2.91	29.0	2.91	29.0	2.91	配当あり	いいえ	12.79	0.78	414.6	1164.0	918.0	Consumer Defensive			OK	通常掲載可	OK	199119.0	4.14	7.3	37.06	0.69	4209.0	77.87	37.24	7.39	1
9474	ゼンリン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	866.0	4.85	42.0	4.85	42.0	4.85	配当あり	いいえ	16.89	0.95	462.3	1136.0	841.0	Communication Services			OK	通常掲載可	OK	64277.0	5.45	-0.13	67.9	0.05	1837.0	51.27	81.92	5.51	2
9475	昭文社ホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	491.0	2.04	10.0	2.04	10.0	2.04	配当あり	いいえ	7.35	0.62	88.5	585.0	408.0	Communication Services			OK	通常掲載可	OK	6727.8	7.08	7.53	75.61	0.03	367.1	66.83	14.96	8.88	0
9476	中央経済社ホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1039.0	1.25	13.0	1.25	13.0	1.25	配当あり	いいえ	12.59	0.91	40.2	1050.0	570.0	Communication Services			OK	通常掲載可	OK	3256.7	7.2	5.04	71.54	0.1	359.1	82.5	15.76	7.26	1
9478	ＳＥホールディングス・アンド・インキュベーションズ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	523.0	0.76	4.0	0.76	4.0	0.76	配当あり	いいえ	13.12	0.71	79.1	560.0	306.0	Communication Services			OK	通常掲載可	OK	7026.0	13.61	-2.98	60.1	0.32	337.0	39.85	10.04	6.24	0
9501	東京電力ホールディングス	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	455.1						配当未取得			0.22	7293.9	939.4	442.8	Utilities	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6328574.0	5.34	-7.07	21.76	1.87	560333.0	-283.53		-12.62	0
9502	中部電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	3118.0	2.25	70.0	2.25	70.0	2.25	配当あり	いいえ	10.15	0.75	23553.2	3203.0	1783.0	Utilities			OK	通常掲載可	OK	3546041.0	6.49	-3.36	41.01	0.94	334428.0	307.12	22.79	7.74	2
9503	関西電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	2270.0	3.52	80.0	3.52	80.0	3.52	配当あり	いいえ	6.7	0.73	25289.1	2826.0	1686.5	Utilities			OK	通常掲載可	OK	4056637.0	10.79	-6.47	35.06	1.06	652381.0	338.91	23.61	11.61	2
9504	中国電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	898.1	3.34	30.0	3.34	30.0	3.34	配当あり	いいえ	4.66	0.42	3229.4	1145.0	713.8	Utilities			OK	通常掲載可	OK	1442301.0	6.26	-5.68	16.82	3.92	237289.0	192.64	15.57	9.23	0
9505	北陸電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	875.0	2.86	25.0	2.86	25.0	2.86	配当あり	いいえ	3.36	0.41	1827.9	1142.0	709.0	Utilities			OK	通常掲載可	OK	786552.0	11.12	-8.36	24.38	2.19	117459.0	260.73	9.59	12.84	1
9506	東北電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	1062.0	3.77	40.0	3.77	40.0	3.77	配当あり	いいえ	6.25	0.48	5311.7	1323.0	972.2	Utilities			OK	通常掲載可	OK	2372420.0	6.76	-10.3	19.39	2.79	370156.0	169.89	23.54	8.01	2
9507	四国電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	1473.5	3.73	55.0	3.73	55.0	3.73	配当あり	いいえ	5.95	0.63	3011.4	1872.5	1183.0	Utilities			OK	通常掲載可	OK	761861.0	8.91	-10.52	27.36	1.84	82290.0	247.84	22.19	11.11	2
9508	九州電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	1642.5	3.04	50.0	3.04	50.0	3.04	配当あり	いいえ	5.22	0.65	7765.4	2017.5	1253.0	Utilities			OK	通常掲載可	OK	2247213.0	10.01	-4.65	19.94	2.73	438745.0	314.7	15.89	13.78	0
9509	北海道電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	925.1	3.57	33.0	3.57	33.0	3.57	配当あり	いいえ	4.51	0.42	1899.7	1295.0	745.0	Utilities			OK	通常掲載可	OK	855982.0	8.56	-5.11	18.49	3.16	114545.0	204.91	16.1	10.3	0
9511	沖縄電力	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	6	TOPIX Small 1	898.0	3.34	30.0	3.34	30.0	3.34	配当あり	いいえ	7.83	0.37	487.7	1208.0	873.0	Utilities			OK	通常掲載可	OK	220176.0	4.22	-6.92	24.96	2.27	27303.0	114.76	26.14	5.08	2
9513	電源開発	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	3635.0	3.03	110.0	3.03	110.0	3.03	配当あり	いいえ	11.25	0.46	6397.9	4514.0	2480.5	Utilities			OK	通常掲載可	OK	1182259.0	8.54	-10.21	37.58	1.34	224265.0	323.15	34.04	4.93	0
9514	エフオン	スタンダード（内国株式）	4050	電気・ガス業	11	電力・ガス	7	TOPIX Small 2	314.0	2.55	8.0	2.55	8.0	2.55	配当あり	いいえ	11.51	0.32	66.4	458.0	310.0	Utilities			OK	通常掲載可	OK	17473.0	3.43	3.09	40.28	1.31	1931.0	27.29	29.31	12.11	0
9517	イーレックス	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	7	TOPIX Small 2	748.0	2.94	22.0	2.94	22.0	2.94	配当あり	いいえ	10.89	0.83	583.6	1118.0	598.0	Utilities			OK	通常掲載可	OK	169170.0	4.44	-1.2	41.38	0.79	13094.0	68.67	32.04	6.91	0
9519	レノバ	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	6	TOPIX Small 1	966.0						配当未取得		26.95	0.71	873.2	1400.0	616.0	Utilities	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	87622.0	8.42	24.74	20.09	2.77	22348.0	35.84		2.89	
9531	東京瓦斯	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	5987.0	2.0	120.0	2.0	120.0	2.0	配当あり	いいえ	9.35	1.16	19875.9	7967.0	4708.0	Utilities			OK	通常掲載可	OK	2834749.0	6.97	7.51	44.13	0.7	156190.0	640.61	18.73	12.76	2
9532	大阪瓦斯	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	5298.0	2.45	130.0	2.45	130.0	2.45	配当あり	いいえ	13.95	1.13	20201.5	6828.0	3647.0	Utilities			OK	通常掲載可	OK	2030302.0	8.61	-1.87	54.38	0.44	89623.0	379.87	34.22	8.5	5
9533	東邦瓦斯	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	4	TOPIX Mid400	1218.5	1.85	22.5	1.85	22.5	1.85	配当あり	いいえ	14.51	0.93	4383.8	1425.75	1017.0	Utilities			OK	通常掲載可	OK	651085.0	4.88	-0.75	58.99	0.32	65607.0	83.95	26.8	6.79	2
9534	北海道瓦斯	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	7	TOPIX Small 2	741.0	3.64	27.0	3.64	27.0	3.64	配当あり	いいえ	5.7	0.67	654.1	930.0	580.0	Utilities			OK	通常掲載可	OK	174519.0	9.42	2.48	49.15	0.44	10899.0	130.07	20.76	12.33	7
9535	広島ガス	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	7	TOPIX Small 2	388.0	3.09	12.0	3.09	12.0	3.09	配当あり	いいえ	12.72	0.37	266.7	434.0	353.0	Energy			OK	通常掲載可	OK	88396.0	1.79	-3.49	54.24	0.47	3949.0	30.5	39.34	2.93	0
9536	西部ガスホールディングス	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	7	TOPIX Small 2	2225.0	3.15	70.0	3.15	70.0	3.15	配当あり	いいえ	11.45	0.69	800.8	2634.0	1757.0	Utilities			OK	通常掲載可	OK	261823.0	4.76	2.9	24.74	2.15	-4423.0	194.24	36.04	6.39	0
9537	北陸瓦斯	スタンダード（内国株式）	4050	電気・ガス業	11	電力・ガス	-	-	4015.0	1.99	80.0	1.99	80.0	1.99	配当あり	いいえ	5.98	0.35	187.3	5710.0	3445.0	Utilities			OK	通常掲載可	OK	64436.0	5.89	4.32	74.9	0.0	2873.7	670.91	11.92	5.93	0
9539	京葉瓦斯	スタンダード（内国株式）	4050	電気・ガス業	11	電力・ガス	-	-	1542.0	1.69	26.0	1.69	26.0	1.69	配当あり	いいえ	15.43	0.46	495.8	1542.0	1077.0	Utilities			OK	通常掲載可	OK	117665.0	3.26	1.69	56.78	0.28	-697.0	99.92	26.02	4.09	2
9543	静岡ガス	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	6	TOPIX Small 1	1216.0	3.62	44.0	3.62	44.0	3.62	配当あり	いいえ	9.12	0.67	916.3	1625.0	1071.0	Utilities			OK	通常掲載可	OK	201207.0	6.99	-0.51	67.04	0.12	4700.0	133.4	32.98	8.27	11
9551	メタウォーター	プライム（内国株式）	4050	電気・ガス業	11	電力・ガス	6	TOPIX Small 1	3350.0	2.39	80.0	2.39	80.0	2.39	配当あり	いいえ	16.02	1.63	1464.6	4220.0	2191.0	Industrials			OK	通常掲載可	OK	209844.0	6.14	17.17	40.64	0.44	7979.0	209.14	38.25	10.57	3
9552	クオンツ総研ホールディングス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	6	TOPIX Small 1	840.0	0.6	5.0	0.6	5.0	0.6	配当あり	いいえ	15.48	6.71	442.8	1444.0	556.0	Financial Services			OK	通常掲載可	OK	16602.6	28.78	0.32	62.84	0.14	1174.2	54.26	9.21	35.47	
9553	マイクロアド	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	533.0						配当未取得		19.61	3.68	146.8	957.0	416.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15670.6	3.91	14.28	38.59	0.77	509.2	27.18		20.14	
9554	ＡＶｉＣ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1550.0						配当未取得		16.23	3.69	98.6	2420.0	1180.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2680.9	27.03	38.56	58.53	0.31	639.4	95.48		27.22	
9556	ＩＮＴＬＯＯＰ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1660.0						配当未取得		29.41	2.47	156.3	4875.0	1401.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	27077.6	5.56	51.92	39.4	0.61	1009.1	56.44		13.56	
9557	エアークローゼット	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	170.0						配当未取得			4.82	14.1	494.0	148.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4957.6	2.07	17.59	20.14	2.76	-273.4	-41.28		-75.7	
9558	ジャパニアス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1960.0	5.2	102.0	5.28	102.0	5.2	配当あり	いいえ	10.25	2.32	77.7	2499.0	1880.0	Technology			OK	通常掲載可	OK	12084.7	8.13	7.79	58.41	0.09	800.0	191.3	53.32	24.8	3
9560	プログリット	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	730.0	3.01	22.0	3.01	22.0	3.01	配当あり	いいえ	11.66	3.54	91.3	1323.0	665.0	Consumer Defensive			OK	通常掲載可	OK	5747.5	20.93	29.06	50.84	0.11	846.4	62.59	35.15	32.65	1
9561	グラッドキューブ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	412.0						配当未取得			4.58	34.8	831.0	385.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1755.4	-1.92	12.6	33.0	0.85	-35.8	-3.63		-4.22	
9562	ビジネスコーチ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	500.0	3.4	17.0	3.4	17.0	3.4	配当あり	いいえ	65.36	1.57	21.2	944.33	481.0	Consumer Defensive			OK	通常掲載可	OK	2004.0	8.18	25.16	76.9	0.01	57.1	7.65	222.22	3.56	0
9563	Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	301.0						配当未取得		97.1	1.31	22.4	340.0	265.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2280.9	0.4	7.55	86.31		-138.0	3.1		3.95	
9564	ＦＣＥ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	483.0	2.07	10.0	2.07	10.0	2.07	配当あり	いいえ	15.15	2.53	106.6	957.0	424.0	Industrials			OK	通常掲載可	OK	6099.8	14.96	21.85	66.34	0.07	929.9	31.88	31.37	19.09	1
9565	ＧＬＯＥ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	667.0						配当未取得		17.15	3.73	18.5	999.0	631.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2843.5	0.66	25.77	29.78	1.12	-16.0	38.89		22.29	
9601	松竹	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	10310.0	0.29	30.0	0.29	30.0	0.29	配当あり	いいえ	27.03	1.31	1417.0	15410.0	9860.0	Communication Services			OK	通常掲載可	OK	98249.0	6.27	17.0	47.17	0.62	11247.0	381.47	7.86	5.21	0
9602	東宝	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	1256.0	1.75	22.0	1.75	22.0	1.75	配当あり	いいえ	20.53	2.05	10448.1	2059.0	1191.0	Communication Services			OK	通常掲載可	OK	360663.0	18.82	15.16	73.32	0.0	49896.0	61.17	35.97	10.33	0
9603	エイチ・アイ・エス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	6	TOPIX Small 1	943.0	2.65	25.0	2.65	25.0	2.65	配当あり	いいえ	18.62	1.17	705.0	1519.0	907.0	Consumer Cyclical			OK	通常掲載可	OK	373106.0	3.12	8.67	14.45	3.21	14065.0	50.64	49.37	7.24	0
9605	東映	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	5640.0	0.21	12.0	0.21	12.0	0.21	配当あり	いいえ	15.41	1.21	3524.3	6050.0	4935.0	Communication Services			OK	通常掲載可	OK	185333.0	19.48	3.01	58.3	0.08	14785.0	366.04	3.28	10.1	0
9610	ウィルソン・ラーニング　ワールドワイド	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	102.0						配当未取得			1.47	11.4	342.0	87.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1688.9	-23.32	-3.54	46.01	0.18	-351.7	-13.92		-19.02	
9612	ラックランド	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	1186.0	3.37	40.0	3.37	40.0	3.37	配当あり	いいえ	5.87	1.02	134.8	1966.0	985.0	Industrials			OK	通常掲載可	OK	56574.0	7.13	18.71	43.87	0.18	4225.0	202.09	19.79	17.79	0
